Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH4RS09C444,Ken Nelson Toyota,IL
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH4RS10J316,Sloane Toyota of Glenside,PA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH4RS10K174,Toyota of Puyallup,WA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH4RS10K224,Pearson Toyota,VA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH4RS11L501,Tansky Sawmill Toyota,OH
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH4RS11L546,Butte Toyota,MT
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH4RS12I973,Sierra Toyota,AZ
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH4RS12K022,Toyota of Poway,CA
2024,Platinum AWD,Cypress,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH4RS13I662,Joseph Airport Toyota,OH
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,,5TDEBRCH4RS13K288,Dan Cava's Toyota World,WV
2024,Platinum AWD,Celestial Silver Metallic,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH4RS13K548,802 Toyota,VT
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,At dealer,False,DealerHold,5TDEBRCH4RS141590,Temecula Valley Toyota,CA
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,At dealer,False,Available,5TDEBRCH4RS141881,Advantage Toyota,NY
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Port to dealer,True,Available,5TDEBRCH4RS142318,Wills Toyota,ID
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,At dealer,False,Available,5TDEBRCH4RS142450,Marshall Dry Ridge Toyota,KY
2024,Platinum AWD,Ruby Flare Pearl,53375,998.0,54373.0,Port to dealer,False,,5TDEBRCH4RS142612,Webb Toyota,NM
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Port to dealer,True,DealerHold,5TDEBRCH4RS142691,Sullivan Brothers Toyota,MA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Port to dealer,True,DealerHold,5TDEBRCH4RS142822,Heritage Toyota Owings Mills,MD
2024,Platinum AWD,Ruby Flare Pearl,53125,0.0,53125.0,At dealer,True,DealerHold,5TDEBRCH4RS611133,Toyota of Bowling Green,KY
2024,Platinum AWD,Cypress,53375,0.0,53375.0,At dealer,True,DealerHold,5TDEBRCH4RS611570,DARCARS Toyota of Baltimore,MD
2023,Platinum AWD,Magnetic Gray Metallic,52425,0.0,52425.0,At dealer,False,DealerHold,5TDEBRCH5PS107638,Jay Wolfe Toyota of West County,MO
2023,Platinum AWD,Midnight Black Metallic,53025,0.0,53025.0,L,False,Available,5TDEBRCH5PS127047,Mark Jacobson Toyota,NC
2023,Platinum AWD,Wind Chill Pearl,53025,0.0,53025.0,At dealer,False,Available,5TDEBRCH5PS129347,Joseph Toyota of Cincinnati,OH
2023,Platinum AWD,Wind Chill Pearl,53025,0.0,53025.0,At dealer,False,DealerHold,5TDEBRCH5PS132149,Ron Tonkin Toyota,OR
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH5RS09A587,Hartford Toyota,CT
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH5RS10I411,Luther Brookdale Toyota,MN
2024,Platinum AWD,Wind Chill Pearl,53375,1995.0,55370.0,Factory to port,False,Available,5TDEBRCH5RS10J258,Toyota Carlsbad,CA
2024,Platinum AWD,Midnight Black Metallic,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH5RS10J325,Page Toyota,MI
