Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,LE FWD,Predawn Gray Mica,26420,29410,0,26420,At dealer,False,Available,4T1C11AK0RU894356,Sterling McCall Toyota Fort Bend,TX
2024,LE FWD,Predawn Gray Mica,26420,28718,0,26420,At dealer,False,,4T1C11AK0RU895524,Jim Bagan Toyota,CA
2024,LE FWD,Ice Cap,26420,28188,999,27419,At dealer,False,DealerHold,4T1C11AK0RU896169,Toyota of Warren,OH
2024,LE FWD,Predawn Gray Mica,26420,29211,1495,27915,At dealer,False,Available,4T1C11AK0RU896303,Post Oak Toyota,OK
2024,LE FWD,Predawn Gray Mica,26420,28972,595,27015,At dealer,False,Available,4T1C11AK0RU896737,Fred Haas Toyota Country,TX
2024,LE FWD,Midnight Black Metallic,26420,28942,0,26420,At dealer,False,,4T1C11AK0RU897015,Faulkner Toyota,PA
2024,LE FWD,Ice Cap,26420,29032,0,26420,At dealer,False,Available,4T1C11AK0RU898004,Toyota of Irving,TX
2024,LE FWD,Ice Cap,26420,29312,0,26420,At dealer,False,Available,4T1C11AK0RU898729,Bryan Easler Toyota,NC
2024,LE FWD,Predawn Gray Mica,26420,28668,0,26420,At dealer,False,,4T1C11AK0RU898990,Elk Grove Toyota,CA
2024,LE FWD,Ice Cap,26420,28038,0,26420,At dealer,False,,4T1C11AK0RU899024,AutoNation Toyota Arapahoe,CO
2024,LE FWD,Celestial Silver Metallic,26420,29221,0,26420,At dealer,False,,4T1C11AK0RU899282,Modesto Toyota,CA
2024,LE FWD,Midnight Black Metallic,26420,28444,895,27315,At dealer,False,Available,4T1C11AK0RU899444,Jim Norton Toyota,OK
2024,LE FWD,Predawn Gray Mica,26420,28872,0,26420,Port to dealer,False,,4T1C11AK0RU899685,Tri County Toyota,PA
2024,LE FWD,Celestial Silver Metallic,26420,29022,0,26420,At dealer,False,,4T1C11AK0RU901371,Peruzzi Toyota,PA
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,At dealer,False,Available,4T1C11AK0RU901774,Toyota of Gladstone,OR
2024,LE FWD,Predawn Gray Mica,26420,27908,0,26420,At dealer,False,,4T1C11AK0RU901872,Toyota Sunnyvale,CA
2024,LE FWD,Midnight Black Metallic,26420,28883,0,26420,At dealer,False,,4T1C11AK0RU902097,DARCARS Toyota,MD
2024,LE FWD,Predawn Gray Mica,26420,28038,0,26420,At dealer,False,,4T1C11AK0RU902293,Freeman Toyota,CA
2024,LE FWD,Ice Cap,26420,29431,1499,27919,At dealer,False,Available,4T1C11AK0RU902357,Robbins Toyota,TX
2024,LE FWD,Celestial Silver Metallic,26420,28188,0,26420,Port to dealer,False,,4T1C11AK0RU902553,Toyota of North Hollywood,CA
2024,LE FWD,Celestial Silver Metallic,26420,29142,0,26420,At dealer,False,,4T1C11AK0RU902584,Maita's Toyota of Sacramento,CA
2024,LE FWD,Ice Cap,26420,29630,0,26420,At dealer,False,,4T1C11AK0RU902780,Folsom Lake Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,28033,0,26420,Port to dealer,False,,4T1C11AK0RU902794,DCH Toyota of Torrance,CA
2024,LE FWD,Predawn Gray Mica,26420,29367,0,26420,Port to dealer,False,,4T1C11AK0RU902858,Temecula Valley Toyota,CA
2024,LE FWD,Celestial Silver Metallic,26420,27814,0,26420,Port to dealer,True,,4T1C11AK0RU903024,DCH Toyota of Torrance,CA
2024,LE FWD,Predawn Gray Mica,26420,28803,0,26420,At dealer,False,DealerHold,4T1C11AK0RU904027,Cabe Toyota Long Beach,CA
2024,LE FWD,Ice Cap,26420,28368,0,26420,At dealer,False,,4T1C11AK0RU904349,Bill Page Toyota,VA
2024,LE FWD,Celestial Silver Metallic,26420,28494,0,26420,At dealer,False,,4T1C11AK0RU904528,Victory Toyota of San Bruno,CA
2024,LE FWD,Celestial Silver Metallic,26420,29233,0,26420,At dealer,False,DealerHold,4T1C11AK0RU904562,Rodland Toyota,WA
2024,LE FWD,Celestial Silver Metallic,26420,27889,0,26420,At dealer,False,Available,4T1C11AK0RU904612,Toyota Marin,CA
2024,LE FWD,Midnight Black Metallic,26420,29641,0,26420,At dealer,False,Available,4T1C11AK0RU904822,Toyota of Denton,TX
2024,LE FWD,Predawn Gray Mica,26420,29104,0,26420,At dealer,False,,4T1C11AK0RU905291,Wills Toyota,ID
2024,LE FWD,Predawn Gray Mica,26420,28257,0,26420,At dealer,False,,4T1C11AK0RU905713,Toyota of Pasadena,CA
2024,LE FWD,Ice Cap,26420,28828,0,26420,At dealer,False,Available,4T1C11AK0RU905758,Rohrich Toyota,PA
2024,LE FWD,Predawn Gray Mica,26420,28743,0,26420,At dealer,False,,4T1C11AK0RU905968,Conicelli Toyota,PA
2024,LE FWD,Celestial Silver Metallic,26420,28233,0,26420,At dealer,False,,4T1C11AK0RU906781,Norm Reeves Toyota San Diego,CA
2024,LE FWD,Ice Cap,26420,28563,0,26420,At dealer,False,Available,4T1C11AK0RU906909,Right Toyota,AZ
